Dec   Hex  Oct   Code     Char Description
  0   00   000   U+0000        NULL
  1   01   001   U+0001        START OF HEADING
  2   02   002   U+0002        START OF TEXT
  3   03   003   U+0003        END OF TEXT
  4   04   004   U+0004        END OF TRANSMISSION
  5   05   005   U+0005        ENQUIRY
  6   06   006   U+0006        ACKNOWLEDGE
  7   07   007   U+0007        BELL
  8   08   010   U+0008        BACKSPACE
  9   09   011   U+0009        CHARACTER TABULATION
 10   0a   012   U+000a        LINE FEED
 11   0b   013   U+000b        LINE TABULATION
 12   0c   014   U+000c        FORM FEED
 13   0d   015   U+000d        CARRIAGE RETURN
 14   0e   016   U+000e        SHIFT OUT
 15   0f   017   U+000f        SHIFT IN
 16   10   020   U+0010        DATA LINK ESCAPE
 17   11   021   U+0011        DEVICE CONTROL ONE
 18   12   022   U+0012        DEVICE CONTROL TWO
 19   13   023   U+0013        DEVICE CONTROL THREE
 20   14   024   U+0014        DEVICE CONTROL FOUR
 21   15   025   U+0015        NEGATIVE ACKNOWLEDGE
 22   16   026   U+0016        SYNCHRONOUS IDLE
 23   17   027   U+0017        END OF TRANSMISSION BLOCK
 24   18   030   U+0018        CANCEL
 25   19   031   U+0019        END OF MEDIUM
 26   1a   032   U+001a        SUBSTITUTE
 27   1b   033   U+001b        ESCAPE
 28   1c   034   U+001c        INFORMATION SEPARATOR FOUR
 29   1d   035   U+001d        INFORMATION SEPARATOR THREE
 30   1e   036   U+001e        INFORMATION SEPARATOR TWO
 31   1f   037   U+001f        INFORMATION SEPARATOR ONE
 32   20   040   U+0020        SPACE
 33   21   041   U+0021   !    EXCLAMATION MARK
 34   22   042   U+0022   "    QUOTATION MARK
 35   23   043   U+0023   #    NUMBER SIGN
 36   24   044   U+0024   $    DOLLAR SIGN
 37   25   045   U+0025   %    PERCENT SIGN
 38   26   046   U+0026   &    AMPERSAND
 39   27   047   U+0027   '    APOSTROPHE
 40   28   050   U+0028   (    LEFT PARENTHESIS
 41   29   051   U+0029   )    RIGHT PARENTHESIS
 42   2a   052   U+002a   *    ASTERISK
 43   2b   053   U+002b   +    PLUS SIGN
 44   2c   054   U+002c   ,    COMMA
 45   2d   055   U+002d   -    HYPHEN-MINUS
 46   2e   056   U+002e   .    FULL STOP
 47   2f   057   U+002f   /    SOLIDUS
 48   30   060   U+0030   0    DIGIT ZERO
 49   31   061   U+0031   1    DIGIT ONE
 50   32   062   U+0032   2    DIGIT TWO
 51   33   063   U+0033   3    DIGIT THREE
 52   34   064   U+0034   4    DIGIT FOUR
 53   35   065   U+0035   5    DIGIT FIVE
 54   36   066   U+0036   6    DIGIT SIX
 55   37   067   U+0037   7    DIGIT SEVEN
 56   38   070   U+0038   8    DIGIT EIGHT
 57   39   071   U+0039   9    DIGIT NINE
 58   3a   072   U+003a   :    COLON
 59   3b   073   U+003b   ;    SEMICOLON
 60   3c   074   U+003c   <    LESS-THAN SIGN
 61   3d   075   U+003d   =    EQUALS SIGN
 62   3e   076   U+003e   >    GREATER-THAN SIGN
 63   3f   077   U+003f   ?    QUESTION MARK
 64   40   100   U+0040   @    COMMERCIAL AT
 65   41   101   U+0041   A    LATIN CAPITAL LETTER A
 66   42   102   U+0042   B    LATIN CAPITAL LETTER B
 67   43   103   U+0043   C    LATIN CAPITAL LETTER C
 68   44   104   U+0044   D    LATIN CAPITAL LETTER D
 69   45   105   U+0045   E    LATIN CAPITAL LETTER E
 70   46   106   U+0046   F    LATIN CAPITAL LETTER F
 71   47   107   U+0047   G    LATIN CAPITAL LETTER G
 72   48   110   U+0048   H    LATIN CAPITAL LETTER H
 73   49   111   U+0049   I    LATIN CAPITAL LETTER I
 74   4a   112   U+004a   J    LATIN CAPITAL LETTER J
 75   4b   113   U+004b   K    LATIN CAPITAL LETTER K
 76   4c   114   U+004c   L    LATIN CAPITAL LETTER L
 77   4d   115   U+004d   M    LATIN CAPITAL LETTER M
 78   4e   116   U+004e   N    LATIN CAPITAL LETTER N
 79   4f   117   U+004f   O    LATIN CAPITAL LETTER O
 80   50   120   U+0050   P    LATIN CAPITAL LETTER P
 81   51   121   U+0051   Q    LATIN CAPITAL LETTER Q
 82   52   122   U+0052   R    LATIN CAPITAL LETTER R
 83   53   123   U+0053   S    LATIN CAPITAL LETTER S
 84   54   124   U+0054   T    LATIN CAPITAL LETTER T
 85   55   125   U+0055   U    LATIN CAPITAL LETTER U
 86   56   126   U+0056   V    LATIN CAPITAL LETTER V
 87   57   127   U+0057   W    LATIN CAPITAL LETTER W
 88   58   130   U+0058   X    LATIN CAPITAL LETTER X
 89   59   131   U+0059   Y    LATIN CAPITAL LETTER Y
 90   5a   132   U+005a   Z    LATIN CAPITAL LETTER Z
 91   5b   133   U+005b   [    LEFT SQUARE BRACKET
 92   5c   134   U+005c   \    REVERSE SOLIDUS
 93   5d   135   U+005d   ]    RIGHT SQUARE BRACKET
 94   5e   136   U+005e   ^    CIRCUMFLEX ACCENT
 95   5f   137   U+005f   _    LOW LINE
 96   60   140   U+0060   `    GRAVE ACCENT
 97   61   141   U+0061   a    LATIN SMALL LETTER A
 98   62   142   U+0062   b    LATIN SMALL LETTER B
 99   63   143   U+0063   c    LATIN SMALL LETTER C
100   64   144   U+0064   d    LATIN SMALL LETTER D
101   65   145   U+0065   e    LATIN SMALL LETTER E
102   66   146   U+0066   f    LATIN SMALL LETTER F
103   67   147   U+0067   g    LATIN SMALL LETTER G
104   68   150   U+0068   h    LATIN SMALL LETTER H
105   69   151   U+0069   i    LATIN SMALL LETTER I
106   6a   152   U+006a   j    LATIN SMALL LETTER J
107   6b   153   U+006b   k    LATIN SMALL LETTER K
108   6c   154   U+006c   l    LATIN SMALL LETTER L
109   6d   155   U+006d   m    LATIN SMALL LETTER M
110   6e   156   U+006e   n    LATIN SMALL LETTER N
111   6f   157   U+006f   o    LATIN SMALL LETTER O
112   70   160   U+0070   p    LATIN SMALL LETTER P
113   71   161   U+0071   q    LATIN SMALL LETTER Q
114   72   162   U+0072   r    LATIN SMALL LETTER R
115   73   163   U+0073   s    LATIN SMALL LETTER S
116   74   164   U+0074   t    LATIN SMALL LETTER T
117   75   165   U+0075   u    LATIN SMALL LETTER U
118   76   166   U+0076   v    LATIN SMALL LETTER V
119   77   167   U+0077   w    LATIN SMALL LETTER W
120   78   170   U+0078   x    LATIN SMALL LETTER X
121   79   171   U+0079   y    LATIN SMALL LETTER Y
122   7a   172   U+007a   z    LATIN SMALL LETTER Z
123   7b   173   U+007b   {    LEFT CURLY BRACKET
124   7c   174   U+007c   |    VERTICAL LINE
125   7d   175   U+007d   }    RIGHT CURLY BRACKET
126   7e   176   U+007e   ~    TILDE
127   7f   177   U+007f        DELETE
128   80   200   U+00a0        NO-BREAK SPACE
129   81   201   U+00a7   §    SECTION SIGN
130   82   202   U+00a9   ©    COPYRIGHT SIGN
131   83   203   U+00ab   «    LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
132   84   204   U+00ae   ®    REGISTERED SIGN
133   85   205   U+00b0   °    DEGREE SIGN
134   86   206   U+00b1   ±    PLUS-MINUS SIGN
135   87   207   U+00bb   »    RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
136   88   210   U+00c0   À    LATIN CAPITAL LETTER A WITH GRAVE
137   89   211   U+00c1   Á    LATIN CAPITAL LETTER A WITH ACUTE
